mercado_name,mes,agente_name,vtpui_miles_millones_cop,recaudo_propio_miles_millones_cop,giros_recibidos_miles_millones_cop,pct_apalancamiento_cior,param_rcpui,param_competitivo,param_cfpui
,2025-08-01,ENEL COLOMBIA SA ESP,4.7287834067441716e-05,4.7287834067441716e-05,0,376618.0809837347,0.03,f,0.025
,2026-07-01,ENEL COLOMBIA SA ESP,4.92207652835467e-05,4.92207652835467e-05,0,374828.365579825,0.03,f,0.025
,2024-09-01,ENEL COLOMBIA SA ESP,4.658159946476438e-05,4.658159946476438e-05,0,373328.53051018337,0.03,f,0.025
,2025-07-01,ENEL COLOMBIA SA ESP,4.963343139835795e-05,4.963343139835795e-05,0,372926.55796759494,0.03,f,0.025
,2026-06-01,ENEL COLOMBIA SA ESP,4.5601622318452297e-05,4.5601622318452297e-05,0,372834.3974234359,0.03,f,0.025
,2026-08-01,ENEL COLOMBIA SA ESP,4.603263282599222e-05,4.603263282599222e-05,0,370483.20533337764,0.03,f,0.025
,2024-08-01,ENEL COLOMBIA SA ESP,4.382614412909892e-05,4.382614412909892e-05,0,368564.5299748262,0.03,f,0.025
,2025-09-01,ENEL COLOMBIA SA ESP,5.0085388252216895e-05,5.0085388252216895e-05,0,367960.05872735975,0.03,f,0.025
,2026-05-01,ENEL COLOMBIA SA ESP,4.799913247284346e-05,4.799913247284346e-05,0,366719.54357902665,0.03,f,0.025
,2025-10-01,ENEL COLOMBIA SA ESP,4.892123575172319e-05,4.892123575172319e-05,0,366685.59370030556,0.03,f,0.025
,2024-07-01,ENEL COLOMBIA SA ESP,4.660180253374587e-05,4.660180253374587e-05,0,366668.7721694281,0.03,f,0.025
,2024-05-01,ENEL COLOMBIA SA ESP,4.733077447767209e-05,4.733077447767209e-05,0,364699.4629315068,0.03,f,0.025
,2025-05-01,ENEL COLOMBIA SA ESP,4.864846475114685e-05,4.864846475114685e-05,0,363289.864636806,0.03,f,0.025
,2025-06-01,ENEL COLOMBIA SA ESP,4.7583792246099326e-05,4.7583792246099326e-05,0,360781.9291662049,0.03,f,0.025
,2024-07-01,ENEL COLOMBIA SA ESP,4.660203532587815e-05,4.660203532587815e-05,0,360071.76431584405,0.03,f,0.025
,2024-03-01,ENEL COLOMBIA SA ESP,4.8066712037494935e-05,4.8066712037494935e-05,0,358729.4273675166,0.03,f,0.025
,2025-11-01,ENEL COLOMBIA SA ESP,4.8951454057852284e-05,4.8951454057852284e-05,0,358052.60882208176,0.03,f,0.025
,2024-06-01,ENEL COLOMBIA SA ESP,4.668951889051619e-05,4.668951889051619e-05,0,357466.73479725776,0.03,f,0.025
,2024-09-01,ENEL COLOMBIA SA ESP,4.6582166308620076e-05,4.6582166308620076e-05,0,357101.1724723377,0.03,f,0.025
,2025-04-01,ENEL COLOMBIA SA ESP,4.347536863123338e-05,4.347536863123338e-05,0,356318.1902264214,0.03,f,0.025
,2025-10-01,ENEL COLOMBIA SA ESP,4.892165126209931e-05,4.892165126209931e-05,0,355607.43563446536,0.03,f,0.025
,2026-03-01,ENEL COLOMBIA SA ESP,4.805119896678551e-05,4.805119896678551e-05,0,355026.93250676146,0.03,f,0.025
,2024-08-01,ENEL COLOMBIA SA ESP,4.382660128289894e-05,4.382660128289894e-05,0,354915.9961552155,0.03,f,0.025
,2024-10-01,ENEL COLOMBIA SA ESP,4.5979400110407515e-05,4.5979400110407515e-05,0,354480.5648339338,0.03,f,0.025
,2025-07-01,ENEL COLOMBIA SA ESP,4.963414914840968e-05,4.963414914840968e-05,0,353839.2496108596,0.03,f,0.025
,2026-06-01,ENEL COLOMBIA SA ESP,4.560234697989092e-05,4.560234697989092e-05,0,351975.1197211447,0.03,f,0.025
,2024-04-01,ENEL COLOMBIA SA ESP,4.377607998109958e-05,4.377607998109958e-05,0,351798.82793393283,0.03,f,0.025
,2026-01-01,ENEL COLOMBIA SA ESP,4.9127084278204084e-05,4.9127084278204084e-05,0,350948.63856644306,0.03,f,0.025
,2025-12-01,ENEL COLOMBIA SA ESP,4.993609735342397e-05,4.993609735342397e-05,0,350410.42743232433,0.03,f,0.025
,2026-04-01,ENEL COLOMBIA SA ESP,4.278918922310747e-05,4.278918922310747e-05,0,349563.36574820546,0.03,f,0.025
,2025-11-01,ENEL COLOMBIA SA ESP,4.8951840458328786e-05,4.8951840458328786e-05,0,348208.43082766107,0.03,f,0.025
,2025-08-01,ENEL COLOMBIA SA ESP,4.7289025540069924e-05,4.7289025540069924e-05,0,343969.0374122067,0.03,f,0.025
,2025-03-01,ENEL COLOMBIA SA ESP,4.587852591119716e-05,4.587852591119716e-05,0,343958.72854784835,0.03,f,0.025
,2025-07-01,ENEL COLOMBIA SA ESP,4.963459520652662e-05,4.963459520652662e-05,0,342931.2125180546,0.03,f,0.025
,2025-12-01,ENEL COLOMBIA SA ESP,4.99364341112773e-05,4.99364341112773e-05,0,342318.81911421387,0.03,f,0.025
,2025-02-01,ENEL COLOMBIA SA ESP,4.638956158759201e-05,4.638956158759201e-05,0,342182.771630882,0.03,f,0.025
,2026-01-01,ENEL COLOMBIA SA ESP,4.912745035196433e-05,4.912745035196433e-05,0,342002.3280805103,0.03,f,0.025
,2024-12-01,ENEL COLOMBIA SA ESP,4.6004682686636994e-05,4.6004682686636994e-05,0,339923.5479164919,0.03,f,0.025
,2024-08-01,ENEL COLOMBIA SA ESP,4.382716499280392e-05,4.382716499280392e-05,0,339417.14283435117,0.03,f,0.025
,2025-05-01,ENEL COLOMBIA SA ESP,4.86494067739616e-05,4.86494067739616e-05,0,339407.02724181407,0.03,f,0.025
,2024-11-01,ENEL COLOMBIA SA ESP,4.510868302288298e-05,4.510868302288298e-05,0,338734.6316838252,0.03,f,0.025
,2025-06-01,ENEL COLOMBIA SA ESP,4.758465249336202e-05,4.758465249336202e-05,0,338685.3141165708,0.03,f,0.025
,2026-03-01,ENEL COLOMBIA SA ESP,4.805186991735951e-05,4.805186991735951e-05,0,338253.8582651815,0.03,f,0.025
,2024-07-01,ENEL COLOMBIA SA ESP,4.6602926253953215e-05,4.6602926253953215e-05,0,336875.5598857855,0.03,f,0.025
,2024-05-01,ENEL COLOMBIA SA ESP,4.7331872333941035e-05,4.7331872333941035e-05,0,336247.3251171492,0.03,f,0.025
,2024-05-01,ENEL COLOMBIA SA ESP,4.7331875661234805e-05,4.7331875661234805e-05,0,336167.8407710517,0.03,f,0.025
,2024-12-01,ENEL COLOMBIA SA ESP,4.6004953701040404e-05,4.6004953701040404e-05,0,333248.30195229227,0.03,f,0.025
,2024-10-01,ENEL COLOMBIA SA ESP,4.598025236283453e-05,4.598025236283453e-05,0,332619.6762933694,0.03,f,0.025
,2025-03-01,ENEL COLOMBIA SA ESP,4.587898054142363e-05,4.587898054142363e-05,0,332618.3478668905,0.03,f,0.025
,2025-10-01,ENEL COLOMBIA SA ESP,4.892261238094479e-05,4.892261238094479e-05,0,332379.87265691964,0.03,f,0.025
,2025-11-01,ENEL COLOMBIA SA ESP,4.8952528906496265e-05,4.8952528906496265e-05,0,331947.84943652607,0.03,f,0.025
,2025-01-01,ENEL COLOMBIA SA ESP,4.2504938302711047e-05,4.2504938302711047e-05,0,331604.505218988,0.03,f,0.025
,2024-06-01,ENEL COLOMBIA SA ESP,4.6690572444552455e-05,4.6690572444552455e-05,0,330777.8205374381,0.03,f,0.025
,2026-06-01,ENEL COLOMBIA SA ESP,4.56031929847339e-05,4.56031929847339e-05,0,330394.97170033463,0.03,f,0.025
,2024-06-01,ENEL COLOMBIA SA ESP,4.6690595024579686e-05,4.6690595024579686e-05,0,330249.36930384685,0.03,f,0.025
,2025-01-01,ENEL COLOMBIA SA ESP,4.2505014236774297e-05,4.2505014236774297e-05,0,329651.05168485636,0.03,f,0.025
,2024-04-01,ENEL COLOMBIA SA ESP,4.377693877990229e-05,4.377693877990229e-05,0,329080.5897549237,0.03,f,0.025
,2025-06-01,ENEL COLOMBIA SA ESP,4.758506342117777e-05,4.758506342117777e-05,0,329058.2040588776,0.03,f,0.025
,2024-03-01,ENEL COLOMBIA SA ESP,4.806806931453814e-05,4.806806931453814e-05,0,325725.61891030945,0.03,f,0.025
,2024-04-01,ENEL COLOMBIA SA ESP,4.377708524989705e-05,4.377708524989705e-05,0,325495.64327941823,0.03,f,0.025
,2025-05-01,ENEL COLOMBIA SA ESP,4.865005539306006e-05,4.865005539306006e-05,0,324709.12208176544,0.03,f,0.025
,2026-01-01,ENEL COLOMBIA SA ESP,4.9128263632208635e-05,4.9128263632208635e-05,0,323671.72356732807,0.03,f,0.025
,2025-04-01,ENEL COLOMBIA SA ESP,4.347664687933801e-05,4.347664687933801e-05,0,322520.35571673926,0.03,f,0.025
,2026-05-01,ENEL COLOMBIA SA ESP,4.80009313473005e-05,4.80009313473005e-05,0,322398.23371291294,0.03,f,0.025
,2026-03-01,ENEL COLOMBIA SA ESP,4.805258617788824e-05,4.805258617788824e-05,0,322013.13214504806,0.03,f,0.025
,2025-04-01,ENEL COLOMBIA SA ESP,4.347671677654277e-05,4.347671677654277e-05,0,320856.1542287588,0.03,f,0.025
,2025-02-01,ENEL COLOMBIA SA ESP,4.639050052859079e-05,4.639050052859079e-05,0,320012.54758627404,0.03,f,0.025
,2024-03-01,ENEL COLOMBIA SA ESP,4.8068381338403415e-05,4.8068381338403415e-05,0,318979.11751058773,0.03,f,0.025
,2026-04-01,ENEL COLOMBIA SA ESP,4.279036880542091e-05,4.279036880542091e-05,0,318830.4270825017,0.03,f,0.025
,2026-04-01,ENEL COLOMBIA SA ESP,4.2790390082273715e-05,4.2790390082273715e-05,0,318325.6159754273,0.03,f,0.025
,2024-11-01,ENEL COLOMBIA SA ESP,4.5109538600899636e-05,4.5109538600899636e-05,0,318279.7810526036,0.03,f,0.025
,2025-12-01,ENEL COLOMBIA SA ESP,4.9937639713541694e-05,4.9937639713541694e-05,0,316180.4121942674,0.03,f,0.025
,2026-02-01,ENEL COLOMBIA SA ESP,4.803646153696397e-05,4.803646153696397e-05,0,315147.87629123987,0.03,f,0.025
,2024-12-01,ENEL COLOMBIA SA ESP,4.6005841066001e-05,4.6005841066001e-05,0,313115.6624488892,0.03,f,0.025
,2026-05-01,ENEL COLOMBIA SA ESP,4.800139754646697e-05,4.800139754646697e-05,0,312606.77154066664,0.03,f,0.025
,2025-02-01,ENEL COLOMBIA SA ESP,4.639102473935907e-05,4.639102473935907e-05,0,308840.9705198466,0.03,f,0.025
,2025-01-01,ENEL COLOMBIA SA ESP,4.2506000863618485e-05,4.2506000863618485e-05,0,306212.9464767698,0.03,f,0.025
,2025-03-01,ENEL COLOMBIA SA ESP,4.588018825467026e-05,4.588018825467026e-05,0,305832.21312754834,0.03,f,0.025
,2024-11-01,ENEL COLOMBIA SA ESP,4.5110220659709885e-05,4.5110220659709885e-05,0,303661.7458786397,0.03,f,0.025
,2026-02-01,ENEL COLOMBIA SA ESP,4.803707158844023e-05,4.803707158844023e-05,0,303016.3966824553,0.03,f,0.025
,2026-02-01,ENEL COLOMBIA SA ESP,4.803827224835129e-05,4.803827224835129e-05,0,281675.98756162566,0.03,f,0.025
,2026-08-01,ENEL COLOMBIA SA ESP,4.6040393190291706e-05,4.6040393190291706e-05,0,228025.60102248436,0.03,f,0.025
,2026-01-01,ENEL COLOMBIA SA ESP,4.9135872519060145e-05,4.9135872519060145e-05,0,215572.59749131184,0.03,f,0.025
,2026-07-01,ENEL COLOMBIA SA ESP,4.923046615944521e-05,4.923046615944521e-05,0,215549.55241216885,0.03,f,0.025
